drugA	drugB	drugA_for_disease	drugB_for_disease	drugcomb	adv/app
DB00159	DB13631	False	True	('DB00159', 'DB13631')	1
DB00159	DB13779	False	True	('DB00159', 'DB13779')	1
DB00159	DB00820	False	True	('DB00159', 'DB00820')	1
DB00163	DB00590	False	True	('DB00163', 'DB00590')	1
DB00163	DB00575	False	True	('DB00163', 'DB00575')	1
DB00165	DB00325	False	True	('DB00165', 'DB00325')	1
DB00165	DB00657	False	True	('DB00165', 'DB00657')	1
DB00165	DB00820	False	True	('DB00165', 'DB00820')	1
DB00165	DB00968	False	True	('DB00165', 'DB00968')	1
DB00165	DB01018	False	True	('DB00165', 'DB01018')	1
DB00165	DB01170	False	True	('DB00165', 'DB01170')	1
DB00165	DB01275	False	True	('DB00165', 'DB01275')	1
DB00165	DB08932	False	True	('DB00165', 'DB08932')	1
DB00169	DB00590	False	True	('DB00169', 'DB00590')	1
DB00169	DB04840	False	True	('DB00169', 'DB04840')	1
DB00169	DB00575	False	True	('DB00169', 'DB00575')	1
