drugA	drugB	drugcomb	adv/app
DB00080	DB00968	('DB00080', 'DB00968')	1
DB00080	DB06403	('DB00080', 'DB06403')	1
DB00080	DB08931	('DB00080', 'DB08931')	1
DB00081	DB00325	('DB00081', 'DB00325')	1
DB00081	DB00657	('DB00081', 'DB00657')	1
DB00081	DB00820	('DB00081', 'DB00820')	1
DB00081	DB00968	('DB00081', 'DB00968')	1
DB00081	DB01018	('DB00081', 'DB01018')	1
DB00081	DB01170	('DB00081', 'DB01170')	1
DB00081	DB01275	('DB00081', 'DB01275')	1
DB00081	DB08932	('DB00081', 'DB08932')	1
DB00082	DB01116	('DB00082', 'DB01116')	1
DB00082	DB00657	('DB00082', 'DB00657')	1
DB00083	DB00765	('DB00083', 'DB00765')	1
DB00083	DB00657	('DB00083', 'DB00657')	1
DB00083	DB01116	('DB00083', 'DB01116')	1
DB00083	DB01018	('DB00083', 'DB01018')	1
DB00083	DB01626	('DB00083', 'DB01626')	1
DB00083	DB12661	('DB00083', 'DB12661')	1
DB00083	DB00575	('DB00083', 'DB00575')	1
DB00085	DB00325	('DB00085', 'DB00325')	1
DB00086	DB01626	('DB00086', 'DB01626')	1
DB00086	DB00325	('DB00086', 'DB00325')	1
DB00086	DB00350	('DB00086', 'DB00350')	1
DB00086	DB00457	('DB00086', 'DB00457')	1
DB00086	DB00575	('DB00086', 'DB00575')	1
DB00086	DB00590	('DB00086', 'DB00590')	1
DB00086	DB00657	('DB00086', 'DB00657')	1
DB00086	DB00968	('DB00086', 'DB00968')	1
DB00086	DB01018	('DB00086', 'DB01018')	1
DB00086	DB01119	('DB00086', 'DB01119')	1
DB00086	DB01275	('DB00086', 'DB01275')	1
DB00086	DB08931	('DB00086', 'DB08931')	1
DB00086	DB09242	('DB00086', 'DB09242')	1
DB00086	DB01180	('DB00086', 'DB01180')	1
DB00086	DB00217	('DB00086', 'DB00217')	1
DB00086	DB00559	('DB00086', 'DB00559')	1
DB00086	DB00765	('DB00086', 'DB00765')	1
DB00086	DB00820	('DB00086', 'DB00820')	1
DB00086	DB01089	('DB00086', 'DB01089')	1
DB00086	DB01116	('DB00086', 'DB01116')	1
DB00086	DB01170	('DB00086', 'DB01170')	1
DB00086	DB04840	('DB00086', 'DB04840')	1
DB00086	DB06403	('DB00086', 'DB06403')	1
DB00086	DB06762	('DB00086', 'DB06762')	1
DB00086	DB08932	('DB00086', 'DB08932')	1
DB00086	DB09206	('DB00086', 'DB09206')	1
DB00086	DB09363	('DB00086', 'DB09363')	1
DB00086	DB11738	('DB00086', 'DB11738')	1
DB00086	DB12661	('DB00086', 'DB12661')	1
DB00086	DB12945	('DB00086', 'DB12945')	1
DB00086	DB13211	('DB00086', 'DB13211')	1
DB00086	DB13410	('DB00086', 'DB13410')	1
DB00086	DB13429	('DB00086', 'DB13429')	1
DB00086	DB13435	('DB00086', 'DB13435')	1
DB00086	DB13452	('DB00086', 'DB13452')	1
DB00086	DB13575	('DB00086', 'DB13575')	1
DB00086	DB13604	('DB00086', 'DB13604')	1
DB00086	DB13631	('DB00086', 'DB13631')	1
DB00086	DB13779	('DB00086', 'DB13779')	1
DB00091	DB06403	('DB00091', 'DB06403')	1
DB00091	DB00559	('DB00091', 'DB00559')	1
DB00091	DB00765	('DB00091', 'DB00765')	1
DB00091	DB01089	('DB00091', 'DB01089')	1
DB00091	DB09206	('DB00091', 'DB09206')	1
DB00091	DB09363	('DB00091', 'DB09363')	1
DB00091	DB12945	('DB00091', 'DB12945')	1
DB00091	DB13211	('DB00091', 'DB13211')	1
DB00091	DB13410	('DB00091', 'DB13410')	1
DB00091	DB13429	('DB00091', 'DB13429')	1
DB00091	DB13435	('DB00091', 'DB13435')	1
DB00091	DB13452	('DB00091', 'DB13452')	1
DB00091	DB13575	('DB00091', 'DB13575')	1
DB00091	DB13604	('DB00091', 'DB13604')	1
DB00091	DB13631	('DB00091', 'DB13631')	1
DB00091	DB13779	('DB00091', 'DB13779')	1
DB00091	DB00217	('DB00091', 'DB00217')	1
DB00091	DB01626	('DB00091', 'DB01626')	1
DB00091	DB09242	('DB00091', 'DB09242')	1
DB00091	DB11738	('DB00091', 'DB11738')	1
DB00091	DB12661	('DB00091', 'DB12661')	1
DB00091	DB00350	('DB00091', 'DB00350')	1
DB00091	DB01119	('DB00091', 'DB01119')	1
DB00091	DB00590	('DB00091', 'DB00590')	1
DB00091	DB00575	('DB00091', 'DB00575')	1
DB00091	DB04840	('DB00091', 'DB04840')	1
DB00091	DB01180	('DB00091', 'DB01180')	1
DB00091	DB08931	('DB00091', 'DB08931')	1
DB00091	DB00457	('DB00091', 'DB00457')	1
